,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,artist,genre
48,0.652,0.814,11,-7.324,0,0.0466,0.775,0.000289,0.309,0.972,118.793,audio_features,71607RvMRbHenAmJbBdHMn,spotify:track:71607RvMRbHenAmJbBdHMn,https://api.spotify.com/v1/tracks/71607RvMRbHenAmJbBdHMn,https://api.spotify.com/v1/audio-analysis/71607RvMRbHenAmJbBdHMn,183177,4,Blackwater Céilí Band,All Ireland Céilí Bands
49,0.425,0.218,9,-11.913,1,0.0283,0.973,0.147,0.105,0.522,73.582,audio_features,5wEimetsREjoZDiU72PTwA,spotify:track:5wEimetsREjoZDiU72PTwA,https://api.spotify.com/v1/tracks/5wEimetsREjoZDiU72PTwA,https://api.spotify.com/v1/audio-analysis/5wEimetsREjoZDiU72PTwA,322370,4,Blackwater Céilí Band,All Ireland Céilí Bands
50,0.653,0.641,2,-7.322,1,0.0487,0.811,0.000982,0.27,0.978,123.108,audio_features,7kAHnBf3cC2GuL8Ea5O7Zw,spotify:track:7kAHnBf3cC2GuL8Ea5O7Zw,https://api.spotify.com/v1/tracks/7kAHnBf3cC2GuL8Ea5O7Zw,https://api.spotify.com/v1/audio-analysis/7kAHnBf3cC2GuL8Ea5O7Zw,162358,4,Blackwater Céilí Band,All Ireland Céilí Bands
51,0.529,0.462,11,-8.621,0,0.0527,0.842,6.37e-06,0.0631,0.968,157.773,audio_features,5Wi5Ni5OhFqiFl1Es25dMq,spotify:track:5Wi5Ni5OhFqiFl1Es25dMq,https://api.spotify.com/v1/tracks/5Wi5Ni5OhFqiFl1Es25dMq,https://api.spotify.com/v1/audio-analysis/5Wi5Ni5OhFqiFl1Es25dMq,200505,4,Blackwater Céilí Band,All Ireland Céilí Bands
52,0.668,0.711,11,-7.222,0,0.0582,0.699,0.00018,0.328,0.968,118.281,audio_features,2tU6bN5muBIYVGTZZAv2XG,spotify:track:2tU6bN5muBIYVGTZZAv2XG,https://api.spotify.com/v1/tracks/2tU6bN5muBIYVGTZZAv2XG,https://api.spotify.com/v1/audio-analysis/2tU6bN5muBIYVGTZZAv2XG,169787,4,Blackwater Céilí Band,All Ireland Céilí Bands
53,0.539,0.925,7,-3.256,1,0.0416,0.656,0.964,0.353,0.988,117.446,audio_features,2ItT8srf3aRxTcUVgRyXIZ,spotify:track:2ItT8srf3aRxTcUVgRyXIZ,https://api.spotify.com/v1/tracks/2ItT8srf3aRxTcUVgRyXIZ,https://api.spotify.com/v1/audio-analysis/2ItT8srf3aRxTcUVgRyXIZ,211674,4,The Shandrum Céilí Band,All Ireland Céilí Bands
54,0.583,0.841,2,-2.542,1,0.0412,0.781,0.926,0.461,0.985,126.841,audio_features,7DhzSr0XM0ih05tSH3NgrD,spotify:track:7DhzSr0XM0ih05tSH3NgrD,https://api.spotify.com/v1/tracks/7DhzSr0XM0ih05tSH3NgrD,https://api.spotify.com/v1/audio-analysis/7DhzSr0XM0ih05tSH3NgrD,186701,4,The Shandrum Céilí Band,All Ireland Céilí Bands
55,0.55,0.652,2,-3.114,1,0.0365,0.868,0.42,0.101,0.982,117.583,audio_features,3d6p2MgDnTDytJ9p8BPIML,spotify:track:3d6p2MgDnTDytJ9p8BPIML,https://api.spotify.com/v1/tracks/3d6p2MgDnTDytJ9p8BPIML,https://api.spotify.com/v1/audio-analysis/3d6p2MgDnTDytJ9p8BPIML,203730,4,The Shandrum Céilí Band,All Ireland Céilí Bands
56,0.535,0.825,2,-2.757,1,0.0417,0.768,0.984,0.355,0.98,91.765,audio_features,1X7DFTQwZPrWKn6BJottIn,spotify:track:1X7DFTQwZPrWKn6BJottIn,https://api.spotify.com/v1/tracks/1X7DFTQwZPrWKn6BJottIn,https://api.spotify.com/v1/audio-analysis/1X7DFTQwZPrWKn6BJottIn,215984,4,The Shandrum Céilí Band,All Ireland Céilí Bands
57,0.545,0.891,2,-3.087,1,0.0435,0.698,0.888,0.268,0.986,126.597,audio_features,5oKDuYr3WfutRLpBtHeJdE,spotify:track:5oKDuYr3WfutRLpBtHeJdE,https://api.spotify.com/v1/tracks/5oKDuYr3WfutRLpBtHeJdE,https://api.spotify.com/v1/audio-analysis/5oKDuYr3WfutRLpBtHeJdE,190059,4,The Shandrum Céilí Band,All Ireland Céilí Bands
